route,decision,reason,confidence,conflictRoutes,topicOwner,action
/,KEEP,"Eigenständige, indexierbare Seitenrolle ohne bestätigten Konflikt.",high,,/smarte-haustiertechnik/,KEEP
/admin/seo/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/,NOINDEX
/admin/seo/advisor/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/advisor/,NOINDEX
/admin/seo/cockpit/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/cockpit/,NOINDEX
/admin/seo/history/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/history/,NOINDEX
/admin/seo/media/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/media/,NOINDEX
/admin/seo/prices/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/prices/,NOINDEX
/admin/seo/products/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/,NOINDEX
/admin/seo/products/aqara-smart-pet-feeder-c1/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/aqara-smart-pet-feeder-c1/,NOINDEX
/admin/seo/products/cat-mate-335-pet-fountain/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/cat-mate-335-pet-fountain/,NOINDEX
/admin/seo/products/cat-mate-c200/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/cat-mate-c200/,NOINDEX
/admin/seo/products/cat-mate-c300/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/cat-mate-c300/,NOINDEX
/admin/seo/products/cat-mate-c500/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/cat-mate-c500/,NOINDEX
/admin/seo/products/cat-mate-shell-fountain/,NOINDEX,Technische oder bewusst nicht indexierbare Seite.,high,,/admin/seo/products/cat-mate-shell-fountain/,NOINDEX
