"Date","Clicks","Impressions","Avg. CTR"
"7/12/2026 12:00:00 AM","0","0","0"
"7/13/2026 12:00:00 AM","0","0","0"
"7/14/2026 12:00:00 AM","0","0","0"
"7/15/2026 12:00:00 AM","0","0","0"
"7/16/2026 12:00:00 AM","0","0","0"
"7/17/2026 12:00:00 AM","0","0","0"
"7/18/2026 12:00:00 AM","0","0","0"
"7/19/2026 12:00:00 AM","0","0","0"
"7/20/2026 12:00:00 AM","0","0","0"
"7/21/2026 12:00:00 AM","0","0","0"
"7/22/2026 12:00:00 AM","0","0","0"
"7/23/2026 12:00:00 AM","0","0","0"
"7/24/2026 12:00:00 AM","0","0","0"
"7/25/2026 12:00:00 AM","0","0","0"
"7/26/2026 12:00:00 AM","0","0","0"
"7/27/2026 12:00:00 AM","0","0","0"
"7/28/2026 12:00:00 AM","0","0","0"
"7/29/2026 12:00:00 AM","0","0","0"
"7/30/2026 12:00:00 AM","0","0","0"
"7/31/2026 12:00:00 AM","0","3","0"
"8/1/2026 12:00:00 AM","0","0","0"
"8/2/2026 12:00:00 AM","0","0","0"
"8/3/2026 12:00:00 AM","0","0","0"
"8/4/2026 12:00:00 AM","0","0","0"
"8/5/2026 12:00:00 AM","0","0","0"
"8/6/2026 12:00:00 AM","0","0","0"
"8/7/2026 12:00:00 AM","0","0","0"
"8/8/2026 12:00:00 AM","0","2","0"
"8/9/2026 12:00:00 AM","0","1","0"
"8/10/2026 12:00:00 AM","0","3","0"
"8/11/2026 12:00:00 AM","0","3","0"
"8/12/2026 12:00:00 AM","1","7","14.29"
"8/13/2026 12:00:00 AM","0","6","0"
"8/14/2026 12:00:00 AM","0","8","0"
"8/15/2026 12:00:00 AM","0","5","0"
"8/16/2026 12:00:00 AM","0","5","0"
"8/17/2026 12:00:00 AM","0","1","0"
"8/18/2026 12:00:00 AM","1","1","100"
"8/19/2026 12:00:00 AM","0","6","0"
"8/20/2026 12:00:00 AM","0","1","0"
"8/21/2026 12:00:00 AM","0","5","0"
"8/22/2026 12:00:00 AM","0","4","0"
"8/23/2026 12:00:00 AM","1","4","25"
"8/24/2026 12:00:00 AM","0","2","0"
"8/25/2026 12:00:00 AM","1","6","16.67"
"8/26/2026 12:00:00 AM","0","4","0"
"8/27/2026 12:00:00 AM","0","7","0"
"8/28/2026 12:00:00 AM","0","7","0"
"8/29/2026 12:00:00 AM","0","10","0"
"8/30/2026 12:00:00 AM","0","6","0"
"8/31/2026 12:00:00 AM","0","13","0"
"9/1/2026 12:00:00 AM","1","10","10"
"9/2/2026 12:00:00 AM","1","18","5.56"
"9/3/2026 12:00:00 AM","0","13","0"
"9/4/2026 12:00:00 AM","1","14","7.14"
"9/5/2026 12:00:00 AM","0","10","0"
"9/6/2026 12:00:00 AM","1","15","6.67"
"9/7/2026 12:00:00 AM","2","23","8.7"
"9/8/2026 12:00:00 AM","3","27","11.11"
"9/9/2026 12:00:00 AM","0","18","0"
"9/10/2026 12:00:00 AM","1","23","4.35"
"9/11/2026 12:00:00 AM","0","31","0"
"9/12/2026 12:00:00 AM","0","24","0"
"9/13/2026 12:00:00 AM","2","20","10"
"9/14/2026 12:00:00 AM","1","36","2.78"
"9/15/2026 12:00:00 AM","1","32","3.12"
"9/16/2026 12:00:00 AM","2","32","6.25"
"9/17/2026 12:00:00 AM","0","24","0"
"9/18/2026 12:00:00 AM","1","38","2.63"
"9/19/2026 12:00:00 AM","1","20","5"
